creator	translator	title	genre	pages	volume	issue	date	journal title	journal subtitle	issue name	journal editor	publisher	journal location	issue length (pp)	issue height (cm)	issue width (cm)
"Corbin, Alice"		Nodes	poetry	83-83	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Tagore, Rabindranath"		Poems	poetry	84-86	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Henderson, Alice Corbin"		A Perfect Return	articles	87-91	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Pound, Ezra"		Tagore's Poems	articles	92-94	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Monroe, Harriet"		Book Review: The Poems of Rosamund Marriott Watson	articles	94-96	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Henderson, Alice Corbin"		"Book Review: Interpretations: A Book of First Poems, by Zoë Atkins"	articles	97-97	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Henderson, Alice Corbin"		"Book Review: Lyrical Poems, by Lucy Lyttelton"	articles	97-98	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
		Notes and Announcements	articles	99-100	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
		Books Received	articles	100-100	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
		Advertisements	advertisements	C-L	1	3	1912-12-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	48	20	14.7
"Lindsay, Nicholas Vachel"		General William Booth Enters Into Heaven	poetry	101-103	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Cawein, Madison"		Waste Land	poetry	104-105	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Cawein, Madison"		My Lady of the Beeches	poetry	106-107	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Fitch, Anita"		The Wayfarers	poetry	108-108	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Fitch, Anita"		Les Cruels Amoureux	poetry	109-109	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Banning, Kendall"		Love-Songs of the Open Road	poetry	110-111	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Wyatt, Edith"		Sympathy	poetry	112-113	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Rhys, Ernest"		A Song of Happiness	poetry	114-116	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Brink, Roscoe W."		Helen Is Ill	poetry	117-117	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
H. D.		"Verses, Translations, and Reflections from ""The Anthology"""	poetry	118-122	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Pound, Ezra"		Status Rerum	articles	123-127	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Monroe, Harriet"		Reviews	articles	128-131	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Reviews	articles	131-134	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Notes	articles	134-135	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Books Received	articles	136-136	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
		Advertisements	advertisements	E-J	1	4	1913-01-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	52	20	14.7
"Ficke, Arthur Davison"		"Swinburn, An Elegy"	poetry	137-144	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Ficke, Arthur Davison"		To A Child--Twenty Years Hence	poetry	144-145	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Ficke, Arthur Davison"		Portrait of an Old Woman	poetry	145-146	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Ficke, Arthur Davison"		The Three Sisters	poetry	146-146	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Ficke, Arthur Davison"		Among Shadows	poetry	147-147	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Ficke, Arthur Davison"		A Watteau Melody	poetry	147-149	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
"Bynner, Witter"		Apollo Troubadour	poetry	150-153	1	5	1913-02-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	54	20	14.7
